year,month,carrier,airport,delay_rate,cancel_rate,divert_rate,total_delay_minutes
2025,7,HA,SLC,0.0645,0.0,0.0,170.0
2025,7,HA,SMF,0.172,0.0,0.0,1050.0
2025,7,MQ,ABI,0.2685,0.0268,0.0,2147.0
2025,7,MQ,ABQ,0.1429,0.0,0.0,623.0
2025,7,MQ,ACK,0.25,0.0,0.0,75.0
2025,7,MQ,ACT,0.2951,0.0328,0.0,1023.0
2025,7,MQ,AEX,0.1111,0.0,0.0,149.0
2025,7,MQ,ALB,0.25,0.0341,0.0,1067.0
2025,7,MQ,ALO,0.3115,0.0164,0.0492,2161.0
2025,7,MQ,AMA,0.1979,0.0214,0.0053,2065.0
2025,7,MQ,ATL,0.1404,0.0,0.0175,427.0
2025,7,MQ,ATW,0.284,0.0123,0.0,3479.0
2025,7,MQ,AUS,0.225,0.05,0.0062,1700.0
2025,7,MQ,AVL,0.301,0.0291,0.0,1836.0
2025,7,MQ,AVP,0.2614,0.0568,0.0,1557.0
2025,7,MQ,AZO,0.375,0.0455,0.0,1614.0
2025,7,MQ,BDL,0.1897,0.1552,0.0,429.0
2025,7,MQ,BFL,0.2742,0.0,0.0,790.0
2025,7,MQ,BGR,0.1429,0.0286,0.0,159.0
2025,7,MQ,BHM,0.2165,0.0173,0.0,2597.0
2025,7,MQ,BIL,0.3468,0.0081,0.0081,2543.0
2025,7,MQ,BIS,0.3333,0.0,0.0,1953.0
2025,7,MQ,BMI,0.2661,0.0161,0.0081,1709.0
2025,7,MQ,BNA,0.2617,0.0,0.0093,1899.0
2025,7,MQ,BOI,0.1935,0.0,0.0,199.0
2025,7,MQ,BOS,0.1967,0.0219,0.0,2637.0
2025,7,MQ,BRO,0.1915,0.0106,0.0106,616.0
2025,7,MQ,BTR,0.1481,0.0,0.037,380.0
2025,7,MQ,BUF,0.2128,0.0,0.0,539.0
2025,7,MQ,BWI,0.3222,0.0667,0.0,1695.0
2025,7,MQ,CAE,0.2857,0.0,0.0357,421.0
2025,7,MQ,CHA,0.1897,0.0172,0.0,600.0
2025,7,MQ,CHS,0.375,0.0341,0.0114,1842.0
2025,7,MQ,CID,0.3064,0.0213,0.0085,4002.0
2025,7,MQ,CLD,0.1639,0.0,0.0,718.0
2025,7,MQ,CLE,0.5161,0.0968,0.0,1116.0
2025,7,MQ,CLL,0.2043,0.0323,0.0,788.0
2025,7,MQ,CLT,0.1898,0.0122,0.002,4102.0
2025,7,MQ,CMH,0.3922,0.0235,0.0,6953.0
2025,7,MQ,CMI,0.2977,0.0153,0.0,2663.0
2025,7,MQ,COU,0.3147,0.007,0.0,2788.0
2025,7,MQ,CRP,0.197,0.0197,0.0,1592.0
2025,7,MQ,CVG,0.381,0.0143,0.0048,4446.0
2025,7,MQ,CWA,0.3444,0.0111,0.0111,2371.0
2025,7,MQ,DCA,0.1701,0.1245,0.0062,4537.0
2025,7,MQ,DEN,0.4286,0.0,0.0714,594.0
2025,7,MQ,DSM,0.1786,0.0,0.0,350.0
2025,7,MQ,DTW,0.3294,0.0353,0.0,1779.0
2025,7,MQ,ECP,0.2462,0.0154,0.0,1486.0
2025,7,MQ,ELP,0.2537,0.0149,0.0149,1415.0
2025,7,MQ,EVV,0.3356,0.0205,0.0,2895.0
2025,7,MQ,EWR,0.1613,0.0484,0.0,605.0
2025,7,MQ,EYW,0.1511,0.0,0.0,833.0
2025,7,MQ,FAR,0.2203,0.0056,0.0,2418.0
2025,7,MQ,FSD,0.2593,0.0,0.0,212.0
2025,7,MQ,FSM,0.25,0.037,0.0,1445.0
2025,7,MQ,FWA,0.3109,0.0084,0.0084,2204.0
2025,7,MQ,GCK,0.2419,0.0323,0.0,801.0
2025,7,MQ,GGG,0.371,0.0323,0.0161,1021.0
2025,7,MQ,GNV,0.3441,0.0,0.0108,1741.0
2025,7,MQ,GPT,0.2045,0.0455,0.0,759.0
2025,7,MQ,GRB,0.3636,0.0248,0.0,2420.0
2025,7,MQ,GRK,0.2734,0.0288,0.0072,1500.0
2025,7,MQ,GRR,0.2542,0.0678,0.0,983.0
2025,7,MQ,GSO,0.2347,0.0561,0.0051,4349.0
2025,7,MQ,GSP,0.302,0.0,0.0,2297.0
2025,7,MQ,HHH,0.2,0.0,0.0074,1158.0
2025,7,MQ,HOU,0.1818,0.039,0.0,1294.0
2025,7,MQ,HPN,0.2951,0.0328,0.0,2117.0
2025,7,MQ,HRL,0.2049,0.0164,0.0,1335.0
2025,7,MQ,HSV,0.1963,0.0552,0.0,1772.0
2025,7,MQ,IAH,0.1572,0.044,0.0189,1297.0
2025,7,MQ,ICT,0.2083,0.0104,0.0,1150.0
2025,7,MQ,ILM,0.2154,0.0,0.0,1377.0
2025,7,MQ,IND,0.2,0.02,0.0,478.0
2025,7,MQ,JAN,0.3125,0.0312,0.0104,1196.0
2025,7,MQ,JAX,0.2105,0.0132,0.0132,815.0
2025,7,MQ,LAN,0.3077,0.011,0.0,1608.0
2025,7,MQ,LAS,0.0,0.0,0.0,0.0
2025,7,MQ,LBB,0.1781,0.0,0.0,1372.0
2025,7,MQ,LEX,0.35,0.0,0.0,1317.0
2025,7,MQ,LFT,0.2381,0.0476,0.0,1033.0
2025,7,MQ,LIT,0.3029,0.0286,0.0114,7252.0
2025,7,MQ,LRD,0.1983,0.0331,0.0,1060.0
2025,7,MQ,LSE,0.3187,0.022,0.0,1723.0
2025,7,MQ,MAF,0.3033,0.0284,0.0047,3110.0
2025,7,MQ,MCI,0.2935,0.0326,0.0,1306.0
2025,7,MQ,MCO,0.1613,0.0,0.0,194.0
2025,7,MQ,MDT,0.3187,0.033,0.0,1413.0
2025,7,MQ,MEM,0.2933,0.0222,0.0,3058.0
2025,7,MQ,MFE,0.213,0.0118,0.0,1449.0
2025,7,MQ,MGM,0.2258,0.0323,0.0,503.0
2025,7,MQ,MHT,0.2027,0.027,0.0,745.0
2025,7,MQ,MIA,0.2366,0.0043,0.0032,14614.0
2025,7,MQ,MKE,16.0,1.0,0.0,0.0
2025,7,MQ,MLI,0.4054,0.027,0.0,2858.0
2025,7,MQ,MLU,0.2637,0.033,0.0,1819.0
2025,7,MQ,MOB,0.3,0.0333,0.0,460.0
2025,7,MQ,MQT,0.377,0.0,0.0,1738.0
2025,7,MQ,MRY,0.3077,0.0,0.0,307.0
2025,7,MQ,MSN,0.2692,0.0641,0.0,1184.0
